"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","test_wallet_deposit_invalid_amount[inf-422]","tests.API.Wallet","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestWalletDepositInvalidValidation","test_wallet_deposit","",""
"","12","test_update_user_invalid_username[greater_than_in_username]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","9","test_request_wrong_header_authorization[api_client_wallet-<lambda>1]","tests.Middleware","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestMiddlewareNegative","test_user_wallet_subscription_auth_middleware","",""
"","11","test_upload_invalid_avatar_extension[zip]","tests.API.User","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestUploadAvatarNegative","test_upload_avatar_user","",""
"","9","test_create_user_invalid_passwords[Bool [F,F] in the passwords]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","9","test_login_user_missing_required_field[password-422]","tests.API.User","Mon Sep 01 15:00:10 UTC 2025","passed","Mon Sep 01 15:00:10 UTC 2025","TestLoginUserNegative","test_login_user","",""
"","11","test_login_user_invalid_email[ends_with_dot]","tests.API.User","Mon Sep 01 15:00:10 UTC 2025","passed","Mon Sep 01 15:00:10 UTC 2025","TestLoginUserInvalidValidation","test_login_user","",""
"","9","test_create_user_invalid_email[double_dots]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","10","test_update_user_invalid_username[plus_in_username]","tests.API.User","Mon Sep 01 15:00:29 UTC 2025","passed","Mon Sep 01 15:00:29 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","20","test_create_user_valid_email[valid_underscore_in_local]","tests.API.User","Mon Sep 01 15:00:06 UTC 2025","passed","Mon Sep 01 15:00:06 UTC 2025","TestCreateUserValidValidation","test_create_user","",""
